문장,label
"폭설이 내리고 우박, 진눈깨비가 퍼부어도 눈보라가 몰아쳐도 강풍이 불고 비바람이 휘몰아쳐도",추론형-긍정-현재-확실
우리의 한결같은 심부름꾼 황새 아저씨 가는 길을 그 누가 막으랴!,대화형-긍정-현재-확실
황새 아저씨를 기다리세요,대화형-긍정-현재-확실
찾아와 선물을 주실 거예요,대화형-긍정-미래-확실
가난하든 부자이든 상관이 없답니다,대화형-긍정-현재-확실
백만장자도 하나 가난뱅이도 하나,사실형-긍정-현재-확실
황새 아저씨를 기다리세요,대화형-긍정-현재-확실
도망쳐도 소용없어요 반드시 찾아내니까요,대화형-긍정-현재-확실
세상 끝에 있어도 하늘 꼭대기에 있어도,사실형-긍정-현재-확실
황새 아저씨는 찾아간답니다,대화형-긍정-현재-확실
황새 아저씨를 기다리세요,대화형-긍정-현재-확실
한 번 명단에 오르면 싫어도 할 수 없어요,대화형-부정-현재-확실
신발 속의 쌍둥이 얘기 들으셨죠,대화형-긍정-과거-확실
다음 차례는 당신일지도 몰라요,대화형-긍정-현재-확실
승차 완료!,사실형-긍정-현재-확실
승차완료!,대화형-긍정-현재-확실
출발합니다!,대화형-긍정-현재-확실
기차가 칙칙 폭폭 달려옵니다,대화형-긍정-현재-확실
"기찻길을 따라 칙칙 폭폭, 칙칙 폭폭",사실형-긍정-현재-확실
언덕을 넘어서 칙칙 폭폭,사실형-긍정-현재-확실
들판을 지나서 칙칙 폭폭,사실형-긍정-현재-불확실
쉬지 않고 칙칙 폭폭 달려옵니다,대화형-긍정-현재-확실
서커스가 왔다고 모두 좋아합니다,대화형-긍정-현재-확실
맛있는 과자랑 주스를 준비하세요,대화형-긍정-현재-확실
서커스가 열립니다 서커스가 찾아 왔어요,대화형-긍정-현재-확실
"아휴, 힘들어라",대화형-긍정-현재-확실
어디 보자,대화형-긍정-현재-확실
이 근처가 틀림없는데,사실형-긍정-현재-확실
맞아야 하는데,대화형-긍정-현재-확실
이런 세상에,추론형-긍정-현재-확실
나무 꼭대기에!,사실형-긍정-현재-확실
여기가 어디냐면 여기가 고속도로고,사실형-긍정-현재-확실
주유소 쪽으로 4마일 더 가서 왼쪽으로 돌면,사실형-긍정-현재-확실
저거로군!,대화형-긍정-현재-확실
"자, 아가야 이제 가볼까?",대화형-긍정-미래-확실
점보 부인!,대화형-긍정-현재-확실
점보 부인!,대화형-긍정-현재-확실
점보 부인을 찾습니다!,대화형-긍정-현재-확실
점보 부인!,대화형-긍정-현재-확실
점보 부인!,대화형-긍정-현재-확실
점보 부인이 어딨지?,대화형-긍정-현재-확실
이쪽으로 와요!,대화형-긍정-현재-확실
여기예요!,대화형-긍정-현재-확실
여기예요! 여기가 맞아요!,대화형-긍정-현재-확실
드디어 찾았군,대화형-긍정-과거-확실
어느 부인이 아기를 기다리시나요?,대화형-긍정-현재-확실
- 난 아니에요,대화형-부정-현재-확실
- 나도 마찬가지예요,대화형-긍정-현재-확실
보면 모르나!,대화형-긍정-현재-확실
저쪽으로 가보게,대화형-긍정-현재-확실
맞을 거야,대화형-긍정-현재-확실
그래요!,대화형-긍정-현재-확실
눈이 파란 아이를 데려 왔어요 하늘이 보내주신 선물입니다,대화형-긍정-현재-확실
하늘이 보내주신 선물이니,사실형-긍정-현재-확실
사랑으로 키우시기 바랍니다,대화형-긍정-현재-확실
"됐습니다, 점보 부인",대화형-긍정-과거-확실
아직 안 끝났어요,대화형-부정-과거-확실
생일 축하합니다 생일 축하합니다,대화형-긍정-현재-확실
사랑하는...,대화형-긍정-현재-확실
사랑하는..,대화형-긍정-현재-확실
내 정신 좀 봐 이름이 뭐죠?,대화형-긍정-현재-확실
점보 2세예요,대화형-긍정-현재-확실
점보 2세,사실형-긍정-현재-확실
사랑하는 점보 2세,사실형-긍정-현재-확실
탄생 축하...,대화형-긍정-현재-확실
합...,대화형-긍정-현재-확실
니다!,사실형-긍정-현재-확실
어서 풀어봐,대화형-긍정-현재-확실
가슴이 두근거려 죽겠어,추론형-긍정-현재-확실
- 너무 좋은 일이야!,대화형-긍정-현재-확실
- 빨리 보고 싶어!,대화형-긍정-현재-확실
역사에 길이 남을 일이로다,사실형-긍정-현재-확실
어서 열어봐,대화형-긍정-현재-확실
궁금해 죽겠어,대화형-긍정-현재-확실
아기 좀 봐!,대화형-긍정-현재-확실
귀엽기도 하지!,대화형-긍정-현재-불확실
어쩜 저렇게 예쁘게 생겼니,대화형-긍정-현재-확실
천사 같은 아이로다,추론형-긍정-현재-확실
저렇게 귀여운 아이를 본 적이 있니?,대화형-긍정-현재-확실
너무 너무 귀엽다,추론형-긍정-현재-확실
세상에 이런 일이!,대화형-긍정-현재-확실
뭐 잘못 된 거 아니야?,대화형-긍정-현재-확실
"저것 좀 봐, 저거... 귀... 이를 봐!",대화형-긍정-현재-확실
뭘 보라고?,대화형-긍정-현재-확실
"아, 귀!",사실형-긍정-현재-확실
너무 웃기지 않니?,대화형-부정-현재-확실
성질하고는!,대화형-긍정-현재-확실
내가 어떻게 했길래? 내가 뭐 잘못 말한 거 있어?,대화형-긍정-과거-확실
사실대로 말했을 뿐이지!,대화형-긍정-과거-확실
웃겨서 웃긴다고 했을 뿐이야!,대화형-긍정-과거-확실
정말 웃긴다,추론형-긍정-현재-확실
아기 점보가 어떻게 생겼든 우리랑 무슨 상관이람,대화형-긍정-현재-확실
점보?,대화형-긍정-현재-확실
차라리 덤보라고 해라!,대화형-긍정-현재-확실
덤보래!,대화형-긍정-현재-확실
말 한번 잘 했다,사실형-긍정-과거-확실
난 할 수 있어 난 할 수 있어,추론형-긍정-현재-확실
할... 수... 있어 할...,대화형-부정-현재-확실
