userId,itemId,rating,timestamp
M0000021606394,칼파제르 밀크 초콜릿150g,10.0,17699449.0
M0000003734606,칼파제르 밀크 초콜릿150g,10.0,17702092.0
M0000016753893,칼파제르 밀크 초콜릿150g,10.0,17702265.0
M0000020888757,칼파제르 밀크 초콜릿150g,10.0,17703057.0
M0000013206120,고려은단 알티지 오메가3 60캡슐 (60일분),10.0,17705606.0
M0000013206120,고려은단 알티지 오메가3 60캡슐 (60일분),10.0,17705702.0
M0000000072533,에스리턴 프로틴 브라우니바 초코 50g,10.0,17708058.0
M0000013065028,C04,10.0,17708159.0
M0000003485682,레이즈 클래식 감자칩 42.5g,10.0,17708654.0
M0000010230902,라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml,10.0,17711453.0
M0000004737417,C02,10.0,17711473.0
M0000021194242,레이즈 클래식 감자칩 42.5g,10.0,17712581.0
M0000018303457,[1+1기획]페리페라 잉크블랙카라,10.0,17712701.0
M0000012464032,라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트,10.0,17713078.0
M0000015097142,C05,10.0,17713869.0
M0000015097142,C05,10.0,17713914.0
M0000001695111,라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트,10.0,17714038.0
M0000004538684,C05,10.0,17714755.0
M0000011603808,티타니아 샌드풋파일,8.0,17715437.0
M0000003229169,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1,8.0,17715750.0
M0000018104242,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1,10.0,17715780.0
M0000016513490,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1,6.0,17715878.0
M0000004083324,C03,10.0,17716266.0
M0000016791158,[NEW] 무지개맨션 아이시 글로우,6.0,17716469.0
M0000018072208,칼파제르 셀렉션 초콜릿150g,10.0,17716878.0
M0000014786857,레이즈 클래식 감자칩 42.5g,10.0,17717366.0
M0000012503456,에스리턴 프로틴 브라우니바 초코 50g,10.0,17718106.0
M0000020998404,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1,10.0,17718345.0
M0000002859861,[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입,10.0,17718570.0
M0000017971491,딜라이트 프로젝트 프로틴 브라우니/카스테라칩 ,10.0,17718590.0
M0000004645390,"C08""",10.0,17719042.0
M0000010164686,메디힐 캡슐100 바이오 세컨덤 하이드로 베타,10.0,17719243.0
M0000014892498,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1,10.0,17719304.0
M0000014924674,C04,10.0,17719440.0
M0000011601103,[NEW] 무지개맨션 아이시 글로우,10.0,17719873.0
M0000004719042,[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입,10.0,17721693.0
M0000003766070,C07,10.0,17722692.0
M0000004335825,딜라이트 프로젝트 프로틴 브라우니/카스테라칩 ,8.0,17723922.0
M0000010722538,스카이보틀 퍼퓸 핸드크림 50ml 5종 택1,10.0,17724114.0
M0000020200984,필리밀리 코털가위,10.0,17724993.0
M0000000687311,C08,10.0,17725025.0
M0000002218528,[1+1기획]페리페라 잉크블랙카라,10.0,17725035.0
M0000003685950,필리밀리 코털가위,8.0,17725129.0
